market,trade_date,source_type,source_granularity,source_origin,status,archive_path,sha256
futures,2022-03-02,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/03.2022/BTCUSDT-aggTrades-2022-03-02.zip,cad7b83cb5f463449cd6a16f46050dca8a5c2186f70e3feff675e95876d5a40c
futures,2022-03-13,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/03.2022/BTCUSDT-aggTrades-2022-03-13.zip,b5bc660e3e1a3698ea1c7ba8103aa28cc72566ac02224888a2440a00eb4e436a
futures,2022-03-28,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/03.2022/BTCUSDT-aggTrades-2022-03-28.zip,f4171bce4b3f2640cf5b818c5576433821ec1c3f77383380ca11597425776fa7
futures,2022-05-12,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/05.2022/BTCUSDT-aggTrades-2022-05-12.zip,1cfcdf227720718dc7aefb0ff519e1eb5a9d0789bc290f9b32ef7334dba79f31
futures,2022-05-31,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/05.2022/BTCUSDT-aggTrades-2022-05-31.zip,5f060ed480f928b0387361c6b138be31161c06c097cee37133c9f564cd8b31b9
futures,2022-06-18,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/06.2022/BTCUSDT-aggTrades-2022-06-18.zip,3c8d63e9df7ae4dc9848b6dd88927fce722e295e3c0ec9d21902af4493578a97
futures,2022-08-15,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/08.2022/BTCUSDT-aggTrades-2022-08-15.zip,d6e2678ee4b1abf88aca0bbc570d1d9b5480fc4cfb8e805b5c5926786622f2e7
futures,2022-09-07,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/09.2022/BTCUSDT-aggTrades-2022-09-07.zip,b3388b1ee6eea40db3ea23268967d4e9b82f87dafb59279b6f5130331a3ea52b
futures,2022-09-13,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/09.2022/BTCUSDT-aggTrades-2022-09-13.zip,f578a654c08084af2c85e304faf4a59572a1bcbaff92aab49987148ed2d1f9b4
futures,2022-11-21,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/11.2022/BTCUSDT-aggTrades-2022-11-21.zip,8644bd0120267eda9491f9253b6233445b9dc5ca790d07a65e717af971d48166
futures,2023-02-21,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2023/02.2023/BTCUSDT-aggTrades-2023-02-21.zip,be40edce7ebe9870b482fca4a21630222f9fe6b2051d77c27058149e9d4b29ef
futures,2023-03-10,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2023/03.2023/BTCUSDT-aggTrades-2023-03-10.zip,3718813c08cbb176011470817004117cc50c6530308a1ca13621607dc21ce30a
futures,2023-04-14,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2023/04.2023/BTCUSDT-aggTrades-2023-04-14.zip,6ed99acb07611ea1191a33808f78c9a3b4990358906687f82138eebd7217c2cd
futures,2023-06-15,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2023/06.2023/BTCUSDT-aggTrades-2023-06-15.zip,5b56d1ae725daa9f9f6079c970f4dcad97e375c90a556afbb9023e09e5418146
futures,2023-07-13,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2023/07.2023/BTCUSDT-aggTrades-2023-07-13.zip,a13df5505cc59dc52451859e7a907e7e7c737525ede7ec19278649e46b7bab96
futures,2023-09-11,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2023/09.2023/BTCUSDT-aggTrades-2023-09-11.zip,6f117b474dfe11b204bf54afe09fb5a1a37bb4d43b8c9e35503a6ceea38b40da
futures,2023-10-23,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2023/10.2023/BTCUSDT-aggTrades-2023-10-23.zip,5658fbec2645d773f5188b99476acda222bd253c3807ef7cd6666d99102d011b
futures,2023-10-24,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2023/10.2023/BTCUSDT-aggTrades-2023-10-24.zip,839db2652e093353b59a43cd46f7bccb68786418ccea1c843c23f5956b9ec29a
futures,2024-01-11,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/01.2024/BTCUSDT-aggTrades-2024-01-11.zip,f5b1638ab61108675228e0a30654efbcff9c867a97dffc69ed1f1ff9d11ba576
futures,2024-01-23,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/01.2024/BTCUSDT-aggTrades-2024-01-23.zip,f8dbeaaccb08408feb344f2f6c46041239bc980a3b103d52e921f8ff1e435e0e
futures,2024-03-14,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/03.2024/BTCUSDT-aggTrades-2024-03-14.zip,40033db6c64e897f2ffc6cae5f5cd1c86c8a0c626f6fbedaf5a0b01605f4564b
futures,2024-05-01,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/05.2024/BTCUSDT-aggTrades-2024-05-01.zip,f41f292348137f14cfc888ba458fabbaa7db95a871c45191c42c74993cce8c4a
futures,2024-06-07,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/06.2024/BTCUSDT-aggTrades-2024-06-07.zip,7ab0dbb225de014133a92b4cadefdba25f35faf7639fa54b26495b22fb4581ab
futures,2024-07-05,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/07.2024/BTCUSDT-aggTrades-2024-07-05.zip,4c2e5fe5c82068a20c425f504698f51d0d42a064fbde9fc257d1eac8b1cae49a
futures,2024-07-29,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/07.2024/BTCUSDT-aggTrades-2024-07-29.zip,5216f2a88fc9c99e718fa62fcefab11bb8124ed565d67cb5ce89b6537c028133
futures,2024-08-05,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/08.2024/BTCUSDT-aggTrades-2024-08-05.zip,84551287a2c06e0e9e862fb76c51cf5d8cd42f7532151c73a1a1753fb058677c
futures,2024-08-25,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/08.2024/BTCUSDT-aggTrades-2024-08-25.zip,75f92adac3b98842f57ef1004ee5ce05a07132897eb1d566f00d0e823877211b
futures,2024-09-08,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/09.2024/BTCUSDT-aggTrades-2024-09-08.zip,654cce830312bb3858e00f88b04713b60b9d2014d4c8c9e0ffd1ef191064090a
futures,2024-12-17,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2024/12.2024/BTCUSDT-aggTrades-2024-12-17.zip,c35e22515ce95e39f9c0040b9c69d8bd85869c38d6521803884dc6e0b490f913
futures,2025-02-28,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2025/02.2025/BTCUSDT-aggTrades-2025-02-28.zip,1ea4d9d99262334d775530a85cc021f3fcf52bf8978a62d1def7b95839e1380f
futures,2025-03-02,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2025/03.2025/BTCUSDT-aggTrades-2025-03-02.zip,72aa169e62f891c6759fa7cfc7f9014cf0552612510fe1cee549b17ef59c2d20
futures,2025-04-07,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2025/04.2025/BTCUSDT-aggTrades-2025-04-07.zip,5ad51685f958a72b2c6cd05df1671333fa734bf0742c3cd500bcca5e3dc0cc7c
futures,2025-10-06,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2025/10.2025/BTCUSDT-aggTrades-2025-10-06.zip,7a516de260d670cae2e6a0f84ae42054612485b9976e9c5bd97338244d8e6432
futures,2025-11-21,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2025/11.2025/BTCUSDT-aggTrades-2025-11-21.zip,49e8b14b2035c0140e5bd190f51a1c863877878ea74ba92ffb80f62b47e94e1c
futures,2026-01-14,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2026/01.2026/BTCUSDT-aggTrades-2026-01-14.zip,bfaaae59b290421aae3bf9cd2c82ce0f77d6dc007198cb48e4864759225e091c
futures,2026-02-06,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2026/02.2026/BTCUSDT-aggTrades-2026-02-06.zip,f5c23447f8120f1a762506d8a7c8355ecf95ff132ffa837c3ef2c2e87054a3f1
futures,2026-05-06,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2026/05.2026/BTCUSDT-aggTrades-2026-05-06.zip,790b617d9fa5888280e0baa8cf465a20641ab09c49f1259d4876e4a43f51685a
spot,2017-08-23,trades,raw_trade,raw_fallback_missing_local_aggtrades,fallback,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/candle and tick data/spot/ticks/official_daily_raw_trades_zip/2017/08.2017/BTCUSDT-trades-2017-08-23.zip,d8efb694e0b601c5ab66e016082e43af1f7d026e30000405cbd529ecba5d199e
spot,2017-09-02,aggTrades,agg_trade,local_official_monthly_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/btc_1m_binance_official/spot/monthly_aggtrades_zip/BTCUSDT-aggTrades-2017-09.zip,9c84120fa94ea8faeddab302de6d628fbaa80d468838738aa04d45154bdc8679
spot,2017-09-05,aggTrades,agg_trade,local_official_monthly_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/btc_1m_binance_official/spot/monthly_aggtrades_zip/BTCUSDT-aggTrades-2017-09.zip,9c84120fa94ea8faeddab302de6d628fbaa80d468838738aa04d45154bdc8679
spot,2017-09-07,aggTrades,agg_trade,local_official_monthly_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/btc_1m_binance_official/spot/monthly_aggtrades_zip/BTCUSDT-aggTrades-2017-09.zip,9c84120fa94ea8faeddab302de6d628fbaa80d468838738aa04d45154bdc8679
spot,2017-09-14,aggTrades,agg_trade,local_official_monthly_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-08-16/files-pasted-by-the-user-read/work/btc_1m_binance_official/spot/monthly_aggtrades_zip/BTCUSDT-aggTrades-2017-09.zip,9c84120fa94ea8faeddab302de6d628fbaa80d468838738aa04d45154bdc8679
