open_datetime,close_datetime,close,regime,current_extreme
2022-12-26T00:00:00+00:00,2022-12-26T23:59:59.999000+00:00,16912.9,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-27T00:00:00+00:00,2022-12-27T23:59:59.999000+00:00,16698.2,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-28T00:00:00+00:00,2022-12-28T23:59:59.999000+00:00,16539.0,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-29T00:00:00+00:00,2022-12-29T23:59:59.999000+00:00,16630.3,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-30T00:00:00+00:00,2022-12-30T23:59:59.999000+00:00,16601.2,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-31T00:00:00+00:00,2022-12-31T23:59:59.999000+00:00,16537.6,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-01T00:00:00+00:00,2023-01-01T23:59:59.999000+00:00,16610.3,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-02T00:00:00+00:00,2023-01-02T23:59:59.999000+00:00,16666.0,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-03T00:00:00+00:00,2023-01-03T23:59:59.999000+00:00,16667.2,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-04T00:00:00+00:00,2023-01-04T23:59:59.999000+00:00,16842.1,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-05T00:00:00+00:00,2023-01-05T23:59:59.999000+00:00,16823.8,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-06T00:00:00+00:00,2023-01-06T23:59:59.999000+00:00,16943.8,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-07T00:00:00+00:00,2023-01-07T23:59:59.999000+00:00,16936.5,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-08T00:00:00+00:00,2023-01-08T23:59:59.999000+00:00,17124.7,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-09T00:00:00+00:00,2023-01-09T23:59:59.999000+00:00,17169.7,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-10T00:00:00+00:00,2023-01-10T23:59:59.999000+00:00,17428.8,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-11T00:00:00+00:00,2023-01-11T23:59:59.999000+00:00,17935.7,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-12T00:00:00+00:00,2023-01-12T23:59:59.999000+00:00,18838.0,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-13T00:00:00+00:00,2023-01-13T23:59:59.999000+00:00,19924.2,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-14T00:00:00+00:00,2023-01-14T23:59:59.999000+00:00,20962.8,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-15T00:00:00+00:00,2023-01-15T23:59:59.999000+00:00,20882.7,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-16T00:00:00+00:00,2023-01-16T23:59:59.999000+00:00,21188.3,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-17T00:00:00+00:00,2023-01-17T23:59:59.999000+00:00,21130.9,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-18T00:00:00+00:00,2023-01-18T23:59:59.999000+00:00,20680.0,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-19T00:00:00+00:00,2023-01-19T23:59:59.999000+00:00,21068.3,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-20T00:00:00+00:00,2023-01-20T23:59:59.999000+00:00,22661.1,bear,2022-11-21T00:00:00+00:00|15443.2
2023-01-21T00:00:00+00:00,2023-01-21T23:59:59.999000+00:00,22781.9,bull,2023-01-21T00:00:00+00:00|23390.0
2023-01-22T00:00:00+00:00,2023-01-22T23:59:59.999000+00:00,22704.6,bull,2021-11-10T00:00:00+00:00|69198.7
2023-01-23T00:00:00+00:00,2023-01-23T23:59:59.999000+00:00,22913.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-01-24T00:00:00+00:00,2023-01-24T23:59:59.999000+00:00,22627.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-01-25T00:00:00+00:00,2023-01-25T23:59:59.999000+00:00,23060.6,bull,2021-11-10T00:00:00+00:00|69198.7
2023-01-26T00:00:00+00:00,2023-01-26T23:59:59.999000+00:00,23001.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-01-27T00:00:00+00:00,2023-01-27T23:59:59.999000+00:00,23068.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-01-28T00:00:00+00:00,2023-01-28T23:59:59.999000+00:00,23015.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-01-29T00:00:00+00:00,2023-01-29T23:59:59.999000+00:00,23740.3,bull,2021-11-10T00:00:00+00:00|69198.7
2023-01-30T00:00:00+00:00,2023-01-30T23:59:59.999000+00:00,22819.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-01-31T00:00:00+00:00,2023-01-31T23:59:59.999000+00:00,23119.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-01T00:00:00+00:00,2023-02-01T23:59:59.999000+00:00,23730.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-02T00:00:00+00:00,2023-02-02T23:59:59.999000+00:00,23493.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-03T00:00:00+00:00,2023-02-03T23:59:59.999000+00:00,23424.7,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-04T00:00:00+00:00,2023-02-04T23:59:59.999000+00:00,23322.6,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-05T00:00:00+00:00,2023-02-05T23:59:59.999000+00:00,22929.2,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-06T00:00:00+00:00,2023-02-06T23:59:59.999000+00:00,22757.7,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-07T00:00:00+00:00,2023-02-07T23:59:59.999000+00:00,23234.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-08T00:00:00+00:00,2023-02-08T23:59:59.999000+00:00,22955.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-09T00:00:00+00:00,2023-02-09T23:59:59.999000+00:00,21793.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-10T00:00:00+00:00,2023-02-10T23:59:59.999000+00:00,21618.6,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-11T00:00:00+00:00,2023-02-11T23:59:59.999000+00:00,21851.3,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-12T00:00:00+00:00,2023-02-12T23:59:59.999000+00:00,21771.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-13T00:00:00+00:00,2023-02-13T23:59:59.999000+00:00,21766.2,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-14T00:00:00+00:00,2023-02-14T23:59:59.999000+00:00,22187.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-15T00:00:00+00:00,2023-02-15T23:59:59.999000+00:00,24332.6,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-16T00:00:00+00:00,2023-02-16T23:59:59.999000+00:00,23526.6,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-17T00:00:00+00:00,2023-02-17T23:59:59.999000+00:00,24581.5,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-18T00:00:00+00:00,2023-02-18T23:59:59.999000+00:00,24636.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-19T00:00:00+00:00,2023-02-19T23:59:59.999000+00:00,24265.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-20T00:00:00+00:00,2023-02-20T23:59:59.999000+00:00,24849.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-21T00:00:00+00:00,2023-02-21T23:59:59.999000+00:00,24443.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-22T00:00:00+00:00,2023-02-22T23:59:59.999000+00:00,24171.3,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-23T00:00:00+00:00,2023-02-23T23:59:59.999000+00:00,23928.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-24T00:00:00+00:00,2023-02-24T23:59:59.999000+00:00,23175.6,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-25T00:00:00+00:00,2023-02-25T23:59:59.999000+00:00,23146.2,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-26T00:00:00+00:00,2023-02-26T23:59:59.999000+00:00,23545.3,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-27T00:00:00+00:00,2023-02-27T23:59:59.999000+00:00,23480.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-02-28T00:00:00+00:00,2023-02-28T23:59:59.999000+00:00,23129.6,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-01T00:00:00+00:00,2023-03-01T23:59:59.999000+00:00,23619.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-02T00:00:00+00:00,2023-03-02T23:59:59.999000+00:00,23457.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-03T00:00:00+00:00,2023-03-03T23:59:59.999000+00:00,22342.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-04T00:00:00+00:00,2023-03-04T23:59:59.999000+00:00,22335.7,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-05T00:00:00+00:00,2023-03-05T23:59:59.999000+00:00,22419.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-06T00:00:00+00:00,2023-03-06T23:59:59.999000+00:00,22397.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-07T00:00:00+00:00,2023-03-07T23:59:59.999000+00:00,22187.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-08T00:00:00+00:00,2023-03-08T23:59:59.999000+00:00,21695.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-09T00:00:00+00:00,2023-03-09T23:59:59.999000+00:00,20348.3,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-10T00:00:00+00:00,2023-03-10T23:59:59.999000+00:00,20140.3,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-11T00:00:00+00:00,2023-03-11T23:59:59.999000+00:00,20447.3,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-12T00:00:00+00:00,2023-03-12T23:59:59.999000+00:00,21986.2,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-13T00:00:00+00:00,2023-03-13T23:59:59.999000+00:00,24119.5,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-14T00:00:00+00:00,2023-03-14T23:59:59.999000+00:00,24682.5,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-15T00:00:00+00:00,2023-03-15T23:59:59.999000+00:00,24288.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-16T00:00:00+00:00,2023-03-16T23:59:59.999000+00:00,24990.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-17T00:00:00+00:00,2023-03-17T23:59:59.999000+00:00,27384.0,bull,2021-11-10T00:00:00+00:00|69198.7
